url_id	url	description
URL_0613_BeachBlock	https://callfreda.com/rentalresults.php?vr=view&checkin=06/13/2026&checkout=06/20/2026&BD=1&MBD=7&BTH=1&MBTH=5&MN=0&MX=999000&Amenities=Air%20Conditioning,Outside%20Shower,Washer,Dryer&TW=Beach%20Block	BeachBlock
URL_0620_BeachBlock	https://callfreda.com/rentalresults.php?vr=view&checkin=06/20/2026&checkout=06/27/2026&BD=1&MBD=7&BTH=1&MBTH=5&MN=0&MX=999000&Amenities=Air%20Conditioning,Outside%20Shower,Washer,Dryer&TW=Beach%20Block	BeachBlock
URL_0627_BeachBlock	https://callfreda.com/rentalresults.php?vr=view&checkin=06/27/2026&checkout=07/04/2026&BD=1&MBD=7&BTH=1&MBTH=5&MN=0&MX=999000&Amenities=Air%20Conditioning,Outside%20Shower,Washer,Dryer&TW=Beach%20Block	BeachBlock
URL_0704_BeachBlock	https://callfreda.com/rentalresults.php?vr=view&checkin=07/04/2026&checkout=07/11/2026&BD=1&MBD=7&BTH=1&MBTH=5&MN=0&MX=999000&Amenities=Air%20Conditioning,Outside%20Shower,Washer,Dryer&TW=Beach%20Block	BeachBlock
URL_0711_BeachBlock	https://callfreda.com/rentalresults.php?vr=view&checkin=07/11/2026&checkout=07/18/2026&BD=1&MBD=7&BTH=1&MBTH=5&MN=0&MX=999000&Amenities=Air%20Conditioning,Outside%20Shower,Washer,Dryer&TW=Beach%20Block	BeachBlock
URL_0718_BeachBlock	https://callfreda.com/rentalresults.php?vr=view&checkin=07/18/2026&checkout=07/25/2026&BD=1&MBD=7&BTH=1&MBTH=5&MN=0&MX=999000&Amenities=Air%20Conditioning,Outside%20Shower,Washer,Dryer&TW=Beach%20Block	BeachBlock
URL_0725_BeachBlock	https://callfreda.com/rentalresults.php?vr=view&checkin=07/25/2026&checkout=08/01/2026&BD=1&MBD=7&BTH=1&MBTH=5&MN=0&MX=999000&Amenities=Air%20Conditioning,Outside%20Shower,Washer,Dryer&TW=Beach%20Block	BeachBlock
URL_0801_BeachBlock	https://callfreda.com/rentalresults.php?vr=view&checkin=08/01/2026&checkout=08/08/2026&BD=1&MBD=7&BTH=1&MBTH=5&MN=0&MX=999000&Amenities=Air%20Conditioning,Outside%20Shower,Washer,Dryer&TW=Beach%20Block	BeachBlock
URL_0808_BeachBlock	https://callfreda.com/rentalresults.php?vr=view&checkin=08/08/2026&checkout=08/15/2026&BD=1&MBD=7&BTH=1&MBTH=5&MN=0&MX=999000&Amenities=Air%20Conditioning,Outside%20Shower,Washer,Dryer&TW=Beach%20Block	BeachBlock
URL_0815_BeachBlock	https://callfreda.com/rentalresults.php?vr=view&checkin=08/15/2026&checkout=08/22/2026&BD=1&MBD=7&BTH=1&MBTH=5&MN=0&MX=999000&Amenities=Air%20Conditioning,Outside%20Shower,Washer,Dryer&TW=Beach%20Block	BeachBlock
URL_0822_BeachBlock	https://callfreda.com/rentalresults.php?vr=view&checkin=08/22/2026&checkout=08/29/2026&BD=1&MBD=7&BTH=1&MBTH=5&MN=0&MX=999000&Amenities=Air%20Conditioning,Outside%20Shower,Washer,Dryer&TW=Beach%20Block	BeachBlock
URL_0829_BeachBlock	https://callfreda.com/rentalresults.php?vr=view&checkin=08/29/2026&checkout=09/05/2026&BD=1&MBD=7&BTH=1&MBTH=5&MN=0&MX=999000&Amenities=Air%20Conditioning,Outside%20Shower,Washer,Dryer&TW=Beach%20Block	BeachBlock
